"","Subject","Event","TrialN","mean_pupil","time"
"1","Subject_1","Square",2,0.0412576518152883,0
"2","Subject_1","Square",2,0.101430808781338,50
"3","Subject_1","Square",2,0.128629063954613,100
"4","Subject_1","Square",2,0.167479346231428,150
"5","Subject_1","Square",2,0.219567924775178,200
"6","Subject_1","Square",2,0.271463040157743,250
"7","Subject_1","Square",2,0.298605015630213,300
"8","Subject_1","Square",2,0.315737137253748,350
"9","Subject_1","Square",2,0.335940390574584,400
"10","Subject_1","Square",2,0.347159491850334,450
"11","Subject_1","Square",2,0.339593899265679,500
"12","Subject_1","Square",2,0.315091200986013,550
"13","Subject_1","Square",2,0.297002677080233,600
"14","Subject_1","Square",2,0.261676859796254,650
"15","Subject_1","Square",2,0.238638750118124,700
"16","Subject_1","Square",2,0.199732082270208,750
"17","Subject_1","Square",2,0.124325687625738,800
"18","Subject_1","Square",2,0.0685133585619586,850
"19","Subject_1","Square",2,0.0100249340285963,900
"20","Subject_1","Square",2,-0.0624866600638363,950
"21","Subject_1","Square",2,-0.134998254156269,1000
"22","Subject_1","Square",2,-0.207509848248701,1050
"23","Subject_1","Square",2,-0.280021442341134,1100
"24","Subject_1","Square",2,-0.352533036433566,1150
"25","Subject_1","Square",2,-0.420238008154217,1200
"26","Subject_1","Square",2,-0.452083195734227,1250
"27","Subject_1","Square",2,-0.484886708929397,1300
"28","Subject_1","Square",2,-0.519459196736862,1350
"29","Subject_1","Square",2,-0.533587585039477,1400
"30","Subject_1","Square",2,-0.522158296957242,1450
"31","Subject_1","Square",2,-0.537687600337802,1500
"32","Subject_1","Square",2,-0.545865605824142,1550
"33","Subject_1","Square",2,-0.552106010638702,1600
"34","Subject_1","Square",2,-0.558359739052177,1650
"35","Subject_1","Square",2,-0.562193883542052,1700
"36","Subject_1","Square",2,-0.580643808949627,1750
"37","Subject_1","Square",2,-0.587197968168247,1800
"38","Subject_1","Square",2,-0.582273015394397,1850
"39","Subject_1","Square",2,-0.589693099266347,1900
"40","Subject_1","Square",2,-0.583786615563917,1950
"41","Subject_1","Circle",3,0.00374825060292361,0
"42","Subject_1","Circle",3,-0.0302015891050087,50
"43","Subject_1","Circle",3,-0.00123014352204365,100
"44","Subject_1","Circle",3,-0.0369597429355668,150
"45","Subject_1","Circle",3,-0.0481257047471932,200
"46","Subject_1","Circle",3,-0.0372904787471846,250
"47","Subject_1","Circle",3,-0.0747815505766583,300
"48","Subject_1","Circle",3,-0.0967153414917488,350
"49","Subject_1","Circle",3,-0.118942483759375,400
"50","Subject_1","Circle",3,-0.147471565549981,450
"51","Subject_1","Circle",3,-0.169972575573103,500
"52","Subject_1","Circle",3,-0.15898706690386,550
"53","Subject_1","Circle",3,-0.148214569355708,600
"54","Subject_1","Circle",3,-0.12513064603824,650
"55","Subject_1","Circle",3,-0.102046722720772,700
"56","Subject_1","Circle",3,-0.0789627994033046,750
"57","Subject_1","Circle",3,-0.0558788760858371,800
"58","Subject_1","Circle",3,-0.0327949527683691,850
"59","Subject_1","Circle",3,-0.00971102945090152,900
"60","Subject_1","Circle",3,0.0133728938665665,950
"61","Subject_1","Circle",3,0.0287621760782115,1000
"62","Subject_1","Circle",3,0.0649349319108388,1050
"63","Subject_1","Circle",3,0.0802145948334316,1100
"64","Subject_1","Circle",3,0.122602799734556,1150
"65","Subject_1","Circle",3,0.138225775944913,1200
"66","Subject_1","Circle",3,0.164350505478355,1250
"67","Subject_1","Circle",3,0.190427462832969,1300
