"","Subject","Event","TrialN","mean_pupil","time"
"1","Subject_1","Square",2,-0.00664198020460827,0
"2","Subject_1","Square",2,-0.00664198020460827,3.3
"3","Subject_1","Square",2,-0.00775879653750167,6.65
"4","Subject_1","Square",2,-0.0224818049107949,10
"5","Subject_1","Square",2,-0.0271574955781624,13.3
"6","Subject_1","Square",2,-0.0271574955781624,16.65
"7","Subject_1","Square",2,-0.0308209218841586,20
"8","Subject_1","Square",2,-0.0504241567907444,23.3
"9","Subject_1","Square",2,-0.0504241567907444,26.65
"10","Subject_1","Square",2,-0.0504241567907444,30
"11","Subject_1","Square",2,-0.0504241567907444,33.3
"12","Subject_1","Square",2,-0.0377729693704669,36.65
"13","Subject_1","Square",2,-0.0363590622883239,40
"14","Subject_1","Square",2,-0.0377729693704669,43.3
"15","Subject_1","Square",2,-0.0504241567907444,46.65
"16","Subject_1","Square",2,-0.0553793768447042,50
"17","Subject_1","Square",2,-0.0572478641583061,53.3
"18","Subject_1","Square",2,-0.0553793768447042,56.65
"19","Subject_1","Square",2,-0.0486166890407356,60
"20","Subject_1","Square",2,-0.0486166890407356,63.3
"21","Subject_1","Square",2,-0.058061956760739,66.65
"22","Subject_1","Square",2,-0.0647292497413892,70
"23","Subject_1","Square",2,-0.0681781170145368,73.3
"24","Subject_1","Square",2,-0.0727860149637811,76.65
"25","Subject_1","Square",2,-0.0727860149637811,80
"26","Subject_1","Square",2,-0.0681781170145368,83.3
"27","Subject_1","Square",2,-0.0681781170145368,86.65
"28","Subject_1","Square",2,-0.0668777275548331,90
"29","Subject_1","Square",2,-0.0727860149637811,93.3
"30","Subject_1","Square",2,-0.0749237379502512,96.65
"31","Subject_1","Square",2,-0.0727860149637811,100
"32","Subject_1","Square",2,-0.0749237379502512,103.3
"33","Subject_1","Square",2,-0.0668777275548331,106.65
"34","Subject_1","Square",2,-0.0659276180707131,110
"35","Subject_1","Square",2,-0.0659276180707131,113.3
"36","Subject_1","Square",2,-0.0668777275548331,116.65
"37","Subject_1","Square",2,-0.0989288485645212,120
"38","Subject_1","Square",2,-0.101618963996073,123.3
"39","Subject_1","Square",2,-0.114495195307382,126.65
"40","Subject_1","Square",2,-0.114394983502508,130
"41","Subject_1","Square",2,-0.114394983502508,133.3
"42","Subject_1","Square",2,-0.114394983502508,136.65
"43","Subject_1","Square",2,-0.114394983502508,140
"44","Subject_1","Square",2,-0.114394983502508,143.3
"45","Subject_1","Square",2,-0.114394983502508,146.65
"46","Subject_1","Square",2,-0.114394983502508,150
"47","Subject_1","Square",2,-0.114394983502508,153.3
"48","Subject_1","Square",2,-0.121883645239249,156.65
"49","Subject_1","Square",2,-0.121883645239249,160
"50","Subject_1","Square",2,-0.121883645239249,163.3
"51","Subject_1","Square",2,-0.122787176893262,166.65
"52","Subject_1","Square",2,-0.130918118284001,170
"53","Subject_1","Square",2,-0.142142284739108,173.3
"54","Subject_1","Square",2,-0.143329313390274,176.65
